Sites,Chlorophyll_ugL,Lat,Long
USGS-06856600,30.5,39.3555515,-97.1275203
USGS-06857100,4.9,39.0427758,-96.8294533
USGS-390416096544600,13.46666667,39.0710083,-96.9128806
USGS-390435096540200,13,39.07651667,-96.9005333
USGS-390448096555500,4,39.07991944,-96.9319333
USGS-390527096543400,2.9,39.09086667,-96.9094833
USGS-390533096552700,10.05,39.09254444,-96.924275
USGS-390603096570600,5.55,39.100925,-96.9516556
USGS-390610096555500,11.85,39.1027833,-96.9319
USGS-390655096535300,5.3,39.1152833,-96.8980667
USGS-390656096550900,3.45,39.11541944,-96.9191306
USGS-390734096543800,10.2,39.1261833,-96.9105833
USGS-390804096555000,12.76666667,39.13456667,-96.9306556
USGS-390830096545800,3.2,39.14164167,-96.9161778
USGS-390910096543300,8.733333333,39.1528861,-96.9091278
USGS-390910096551800,26.7,39.1526833,-96.9216167
USGS-391005096545800,22.7,39.1681,-96.91615
USGS-391009096553700,3.7,39.1692722,-96.926925
USGS-391106096565700,13,39.18487778,-96.9491778
USGS-391108096554600,5.8,39.18559167,-96.9295472
USGS-391109096585800,17.85,39.18596667,-96.9828333
USGS-391116096550500,13.36666667,39.18774444,-96.9181444
USGS-391128096564200,11.15,39.1911333,-96.9448833
USGS-391147096595300,5.6,39.1963,-96.9979333
USGS-391149096582300,19.74,39.1968111,-96.9730361
USGS-391207096565500,15,39.2019333,-96.9485333
USGS-391225096574100,24.3,39.20686667,-96.9614667
USGS-391240096593800,19.75,39.21115,-96.9939667
USGS-391259097001800,30.96,39.21636389,-97.0049917
USGS-391306096590000,4.9,39.2183,-96.9834333
USGS-391332097001100,8.3,39.22545,-97.00305
USGS-391340097003400,31.53333333,39.2279,-97.0094444
